Gene ID	source_id	Product Description	Gene Name or Symbol	Ortholog count	Paralog count	Tet- Cont (CDS only)	BFd3 (CDS only)	BFd6 (CDS only)	PF (CDS only)	BFd3/Tet- (CDS only)	BFd6/Tet- (CDS only)	PF/Tet- (CDS only)	Tet- Cont (CDS+UTR)	BFd3 (CDS+UTR)	BFd6 (CDS+UTR)	PF (CDS+UTR)	BFd3/Tet- (CDS+UTR)	BFd6/Tet- (CDS+UTR)	PF/Tet- (CDS+UTR)	Organism	# Exons in Gene	# Exons in Transcript	# Transcripts	Annotated 3' UTR length	Annotated 5' UTR length	Gene Strand	Gene Type	Is Pseudo	Transcript Length	Apollo Product Description	Deprecated?	Previous ID(s)	Transcript Product Description
LdBPK_090800.1	LdBPK_090800.1.1	acyl-CoA binding protein, putative	N/A	69	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	2997	None	No	N/A	acyl-CoA binding protein, putative
LdBPK_090970.1	LdBPK_090970.1.1	calmodulin, putative	N/A	150	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	450	None	No	N/A	calmodulin, putative
LdBPK_090980.1	LdBPK_090980.1.1	calmodulin, putative	N/A	150	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	450	None	No	N/A	calmodulin, putative
LdBPK_091130.1	LdBPK_091130.1.1	eukaryotic translation initiation factor 2 subunit, putative (fragment)	N/A	69	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	840	None	No	N/A	eukaryotic translation initiation factor 2 subunit, putative (fragment)
LdBPK_100310.1	LdBPK_100310.1.1	isocitrate dehydrogenase [NADP], mitochondrial precursor, putative	N/A	96	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	1308	None	No	N/A	isocitrate dehydrogenase [NADP], mitochondrial precursor, putative
LdBPK_100920.1	LdBPK_100920.1.1	histone H3	N/A	472	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	393	None	No	N/A	histone H3
LdBPK_101070.1	LdBPK_101070.1.1	histone H3	N/A	472	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	141	None	No	N/A	histone H3
LdBPK_110970.1	LdBPK_110970.1.1	40S ribosomal protein S5 (fragment)	N/A	122	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	141	None	No	N/A	40S ribosomal protein S5 (fragment)
LdBPK_111180.1	LdBPK_111180.1.1	40S ribosomal protein S15A, putative	N/A	127	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	393	None	No	N/A	40S ribosomal protein S15A, putative
LdBPK_120190.1	LdBPK_120190.1.1	proteasome regulatory ATPase subunittcc1l8.3, putative	N/A	71	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	1236	None	No	N/A	proteasome regulatory ATPase subunittcc1l8.3, putative
LdBPK_120275.1	LdBPK_120275.1.1	Myotubularin-related protein, putative	N/A	25	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	9699	None	No	N/A	Myotubularin-related protein, putative
LdBPK_130330.1	LdBPK_130330.1.1	alpha tubulin	N/A	354	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	1356	None	No	N/A	alpha tubulin
LdBPK_130990.1	LdBPK_130990.1.1	proteasome regulatory ATPase subunit 2, putative	N/A	72	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	1317	None	No	N/A	proteasome regulatory ATPase subunit 2, putative
LdBPK_131410.1	LdBPK_131410.1.1	60S ribosomal protein L44, putative	N/A	122	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	321	None	No	N/A	60S ribosomal protein L44, putative
LdBPK_151120.1	LdBPK_151120.1.1	tryparedoxin peroxidase	N/A	250	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	342	None	No	N/A	tryparedoxin peroxidase
LdBPK_151140.1	LdBPK_151140.1.1	tryparedoxin peroxidase	N/A	250	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	600	None	No	N/A	tryparedoxin peroxidase
LdBPK_151530.1	LdBPK_151530.1.1	ribosomal protein S6, putative	N/A	65	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	381	None	No	N/A	ribosomal protein S6, putative
LdBPK_160610.1	LdBPK_160610.1.1	histone H3, putative (fragment)	N/A	472	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	324	None	No	N/A	histone H3, putative (fragment)
LdBPK_161220.1	LdBPK_161220.1.1	60S ribosomal protein L39, putative	N/A	58	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	156	None	No	N/A	60S ribosomal protein L39, putative
LdBPK_161380.1	LdBPK_161380.1.1	cytochrome c, putative	N/A	89	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	663	None	No	N/A	cytochrome c, putative
LdBPK_161390.1	LdBPK_161390.1.1	cytochrome c, putative	N/A	89	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	342	None	No	N/A	cytochrome c, putative
LdBPK_170170.1	LdBPK_170170.1.1	elongation factor 1-alpha	N/A	513	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	1350	None	No	N/A	elongation factor 1-alpha
LdBPK_170810.1	LdBPK_170810.1.1	protein kinase, putative	N/A	33	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	5517	None	No	N/A	protein kinase, putative
LdBPK_190090.1	LdBPK_190090.1.1	fibrillarin, putative	N/A	139	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	900	None	No	N/A	fibrillarin, putative
LdBPK_190190.1	LdBPK_190190.1.1	ADP,ATP carrier protein 1, mitochondrial precursor, putative (fragment)	N/A	120	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	309	None	No	N/A	ADP,ATP carrier protein 1, mitochondrial precursor, putative (fragment)
LdBPK_190200.1	LdBPK_190200.1.1	ADP,ATP carrier protein 1, mitochondrial precursor, putative	N/A	120	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	954	None	No	N/A	ADP,ATP carrier protein 1, mitochondrial precursor, putative
LdBPK_190890.1	LdBPK_190890.1.1	CAP-Gly domain containing protein, putative	N/A	49	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	2001	None	No	N/A	CAP-Gly domain containing protein, putative
LdBPK_191200.1	LdBPK_191200.1.1	Fcf1, putative	N/A	68	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	630	None	No	N/A	Fcf1, putative
LdBPK_210040.1	LdBPK_210040.1.1	ring-box protein 1, putative	N/A	58	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	321	None	No	N/A	ring-box protein 1, putative
LdBPK_210770.1	LdBPK_210770.1.1	ATP-binding cassette protein subfamily E, member 1, putative	N/A	69	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	1980	None	No	N/A	ATP-binding cassette protein subfamily E, member 1, putative
LdBPK_210960.1	LdBPK_210960.1.1	metallo-peptidase, Clan MG, Family M24	MetAP2	72	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	1398	None	No	N/A	metallo-peptidase, Clan MG, Family M24
LdBPK_211300.1	LdBPK_211300.1.1	40S ribosomal protein S23, putative	N/A	118	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	432	None	No	Previous IDs: LdBPK_211310.1	40S ribosomal protein S23, putative
LdBPK_212130.1	LdBPK_212130.1.1	centromere/microtubule binding protein cbf5, putative	N/A	69	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	1293	None	No	N/A	centromere/microtubule binding protein cbf5, putative
LdBPK_212240.1	LdBPK_212240.1.1	beta tubulin (fragment)	N/A	410	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	237	None	No	N/A	beta tubulin (fragment)
LdBPK_220004.1	LdBPK_220004.1.1	60S ribosomal protein L11 (L5, L16)	N/A	116	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	567	None	No	N/A	60S ribosomal protein L11 (L5, L16)
LdBPK_220310.1	LdBPK_220310.1.1	40S ribosomal protein S15, putative	N/A	114	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	306	None	No	N/A	40S ribosomal protein S15, putative
LdBPK_220440.1	LdBPK_220440.1.1	proteasome regulatory ATPase subunit 1, putative	N/A	68	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	1314	None	No	N/A	proteasome regulatory ATPase subunit 1, putative
LdBPK_220490.1	LdBPK_220490.1.1	proteasome regulatory ATPase subunit 5, putative	N/A	72	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	1335	None	No	N/A	proteasome regulatory ATPase subunit 5, putative
LdBPK_221110.1	LdBPK_221110.1.1	ribonucleoside-diphosphate reductase small chain, putative (fragment)	N/A	130	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	378	None	No	N/A	ribonucleoside-diphosphate reductase small chain, putative (fragment)
LdBPK_221112.1	LdBPK_221112.1.1	ribonucleoside-diphosphate reductase small chain, putative (fragment)	N/A	130	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	987	None	No	N/A	ribonucleoside-diphosphate reductase small chain, putative (fragment)
LdBPK_221114.1	LdBPK_221114.1.1	ribonucleoside-diphosphate reductase small chain, putative (fragment)	N/A	130	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	519	None	No	N/A	ribonucleoside-diphosphate reductase small chain, putative (fragment)
LdBPK_230050.1	LdBPK_230050.1.1	peroxidoxin	N/A	250	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	681	None	No	N/A	peroxidoxin
LdBPK_230060.1	LdBPK_230060.1.1	cyclophilin, putative	N/A	201	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	891	None	No	N/A	cyclophilin, putative
LdBPK_241700.1	LdBPK_241700.1.1	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	SDH1	69	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	1824	None	No	N/A	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial
LdBPK_242120.1	LdBPK_242120.1.1	BolA-like protein, putative	N/A	60	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	267	None	No	N/A	BolA-like protein, putative
LdBPK_242140.1	LdBPK_242140.1.1	60S ribosomal protein L26, putative (fragment)	N/A	118	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	345	None	No	N/A	60S ribosomal protein L26, putative (fragment)
LdBPK_242170.1	LdBPK_242170.1.1	40S ribosomal protein S8, putative (fragment)	N/A	120	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	198	None	No	N/A	40S ribosomal protein S8, putative (fragment)
LdBPK_250940.1	LdBPK_250940.1.1	cyclophilin a, putative	CYPA	201	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	534	None	No	N/A	cyclophilin a, putative
LdBPK_250990.1	LdBPK_250990.1.1	tubulin gamma chain	TUBG	66	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	1344	None	No	N/A	tubulin gamma chain
LdBPK_251210.1	LdBPK_251210.1.1	ATP synthase subunit beta, mitochondrial, putative	ATPB	98	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	1578	None	No	N/A	ATP synthase subunit beta, mitochondrial, putative
LdBPK_251350.1	LdBPK_251350.1.1	DNA-directed RNA polymerase I subunit RPB10, putative	RPB10	114	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	255	None	No	N/A	DNA-directed RNA polymerase I subunit RPB10, putative
LdBPK_251360.1	LdBPK_251360.1.1	serine/threonine-protein phosphatase	N/A	69	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	954	None	No	N/A	serine/threonine-protein phosphatase
LdBPK_251370.1	LdBPK_251370.1.1	GIY-YIG catalytic domain containing protein, putative	N/A	72	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	2118	None	No	N/A	GIY-YIG catalytic domain containing protein, putative
LdBPK_251460.1	LdBPK_251460.1.1	GTP-binding protein, putative	N/A	67	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	651	None	No	N/A	GTP-binding protein, putative
LdBPK_251790.1	LdBPK_251790.1.1	pyruvate dehydrogenase E1 beta subunit, putative	N/A	68	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	1053	None	No	N/A	pyruvate dehydrogenase E1 beta subunit, putative
LdBPK_252220.1	LdBPK_252220.1.1	succinyl-CoA synthetase alpha subunit, putative	N/A	92	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	900	None	No	N/A	succinyl-CoA synthetase alpha subunit, putative
LdBPK_261220.1	LdBPK_261220.1.1	heat shock protein 70-related protein	N/A	642	5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	1926	None	No	N/A	heat shock protein 70-related protein
LdBPK_261610.1	LdBPK_261610.1.1	40S ribosomal protein S33, putative	N/A	112	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	264	None	No	N/A	40S ribosomal protein S33, putative
LdBPK_261620.1	LdBPK_261620.1.1	40S ribosomal protein S33, putative	N/A	112	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	264	None	No	N/A	40S ribosomal protein S33, putative
LdBPK_270130.1	LdBPK_270130.1.1	WW domain/Zinc finger C-x8-C-x5-C-x3-H type (and similar), putative	N/A	62	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	456	None	No	N/A	WW domain/Zinc finger C-x8-C-x5-C-x3-H type (and similar), putative
LdBPK_270620.1	LdBPK_270620.1.1	ras-related protein RAB1A, putative	Rab1A	63	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	603	None	No	N/A	ras-related protein RAB1A, putative
LdBPK_270930.1	LdBPK_270930.1.1	cysteine desulfurase, putative	N/A	67	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	1323	None	No	N/A	cysteine desulfurase, putative
LdBPK_271970.1	LdBPK_271970.1.1	ribonucleoside-diphosphate reductase small chain, putative (fragment)	N/A	130	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	588	None	No	N/A	ribonucleoside-diphosphate reductase small chain, putative (fragment)
LdBPK_280580.1	LdBPK_280580.1.1	DNA repair protein RAD51, putative	RAD51	138	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	1131	None	No	N/A	DNA repair protein RAD51, putative
LdBPK_280730.1	LdBPK_280730.1.1	serine/threonine protein phosphatase catalytic subunit, putative	N/A	141	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	reverse	protein coding gene	No	906	None	No	N/A	serine/threonine protein phosphatase catalytic subunit, putative
LdBPK_280980.1	LdBPK_280980.1.1	ribonucleoside-diphosphate reductase large chain, putative	N/A	71	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leishmania donovani BPK282A1	1	1	1	N/A	N/A	forward	protein coding gene	No	2400	None	No	N/A	ribonucleoside-diphosphate reductase large chain, putative
