Ldon gene	Lbraz gene	% identity	length	mismatch
LdBPK_366790.1	LBRM2903_350081400	67	655	206
LdBPK_040200.1	LBRM2903_040007100	66.9	284	84
LdBPK_160480.1	LBRM2903_160010200	66.9	157	52
LdBPK_181190.1	LBRM2903_180018400	66.9	1293	395
LdBPK_220020.1	LBRM2903_220006700	66.9	456	149
LdBPK_230950.1	LBRM2903_230019200	66.9	933	289
LdBPK_281690.1	LBRM2903_280023400	66.9	535	171
LdBPK_291310.1	LBRM2903_290019300	66.9	477	149
LdBPK_292790.1	LBRM2903_290033800	66.9	1082	356
LdBPK_332510.1	LBRM2903_330034300	66.9	541	177
LdBPK_352390.1	LBRM2903_340030400	66.9	677	223
LdBPK_353530.1	LBRM2903_340043100	66.9	697	220
LdBPK_361780.1	LBRM2903_350025200	66.9	556	173
LdBPK_363590.1	LBRM2903_350046400	66.9	791	235
LdBPK_041220.1	LBRM2903_040019900	66.8	187	62
LdBPK_050850.1	LBRM2903_050014200	66.8	672	214
LdBPK_090810.1	LBRM2903_090013600	66.8	5557	1626
LdBPK_181470.1	LBRM2903_180021500	66.8	184	60
LdBPK_191460.1	LBRM2903_190023100	66.8	352	117
LdBPK_221080.1	LBRM2903_220017200	66.8	1084	325
LdBPK_230520.1	LBRM2903_230011000	66.8	1382	441
LdBPK_250980.1	LBRM2903_250017200	66.8	223	67
LdBPK_252460.1	LBRM2903_250032700	66.8	365	120
LdBPK_261370.1	LBRM2903_260019200	66.8	968	297
LdBPK_300530.1	LBRM2903_300011700	66.8	1149	374
LdBPK_320020.1	LBRM2903_320005500	66.8	491	156
LdBPK_332760.1	LBRM2903_330036900	66.8	494	158
LdBPK_050240.1	LBRM2903_050007300	66.7	105	34
LdBPK_100250.1	LBRM2903_100007500	66.7	418	139
LdBPK_131230.1	LBRM2903_130017500	66.7	487	152
LdBPK_211100.1	LBRM2903_210016000	66.7	1310	358
LdBPK_211400.1	LBRM2903_210019000	66.7	1136	350
LdBPK_241060.1	LBRM2903_240016500	66.7	929	286
LdBPK_280820.1	LBRM2903_280013500	66.7	162	54
LdBPK_281270.1	LBRM2903_280018600	66.7	306	102
LdBPK_282340.1	LBRM2903_280030300	66.7	912	284
LdBPK_291580.1	LBRM2903_290022500	66.7	171	55
LdBPK_310800.1	LBRM2903_310016800	66.7	303	101
LdBPK_312090.1	LBRM2903_310032200	66.7	513	163
LdBPK_320990.1	LBRM2903_320015700	66.7	1059	342
LdBPK_350670.1	LBRM2903_340011600	66.7	1264	385
LdBPK_364280.1	LBRM2903_350053700	66.7	529	174
LdBPK_366130.1	LBRM2903_350073000	66.7	796	256
LdBPK_100810.1	LBRM2903_100017000	66.6	665	174
LdBPK_191410.1	LBRM2903_190022600	66.6	751	244
LdBPK_302710.1	LBRM2903_300033200	66.6	686	225
LdBPK_311500.1	LBRM2903_310026300	66.6	1045	341
LdBPK_330400.1	LBRM2903_330008800	66.6	371	118
LdBPK_364150.1	LBRM2903_350052200	66.6	1018	329
LdBPK_010550.1	LBRM2903_010010800	66.5	1661	444
LdBPK_030110.1	LBRM2903_030006200	66.5	925	293
LdBPK_050160.1	LBRM2903_050006500	66.5	546	150
LdBPK_171250.1	LBRM2903_170019700	66.5	490	109
LdBPK_200200.1	LBRM2903_200057600	66.5	439	147
LdBPK_262200.1	LBRM2903_260025900	66.5	418	118
LdBPK_292040.1	LBRM2903_310007600	66.5	275	91
LdBPK_302170.1	LBRM2903_300027300	66.5	654	212
LdBPK_320230.1	LBRM2903_320007600	66.5	1028	338
LdBPK_321860.1	LBRM2903_320025900	66.5	179	58
LdBPK_341240.1	LBRM2903_200020600	66.5	194	64
LdBPK_352580.1	LBRM2903_340032400	66.5	215	65
LdBPK_332920.1	LBRM2903_330038600	66.4	5131	1512
LdBPK_333320.1	LBRM2903_330043000	66.4	532	175
LdBPK_350990.1	LBRM2903_340015700	66.4	372	120
LdBPK_366090.1	LBRM2903_350072600	66.4	348	113
LdBPK_366460.1	LBRM2903_350076700	66.4	1093	366
LdBPK_070100.1	LBRM2903_070010300	66.3	827	254
LdBPK_070680.1	LBRM2903_070013300	66.3	258	73
LdBPK_080880.1	LBRM2903_080015100	66.3	267	72
LdBPK_150400.1	LBRM2903_150009300	66.3	664	191
LdBPK_171180.1	LBRM2903_170018800	66.3	543	182
LdBPK_190940.1	LBRM2903_190021400	66.3	585	192
LdBPK_220910.1	LBRM2903_220015600	66.3	718	229
LdBPK_240340.1	LBRM2903_240008600	66.3	193	64
LdBPK_240460.1	LBRM2903_240010100	66.3	190	64
LdBPK_250680.1	LBRM2903_250013800	66.3	419	116
LdBPK_320350.1	LBRM2903_320008800	66.3	801	266
LdBPK_366420.1	LBRM2903_350076300	66.3	323	105
LdBPK_090600.1	LBRM2903_090011200	66.2	595	180
LdBPK_100680.1	LBRM2903_100015800	66.2	600	172
LdBPK_101120.1	LBRM2903_100020400	66.2	1268	370
LdBPK_170420.1	LBRM2903_170009300	66.2	737	232
LdBPK_170590.1	LBRM2903_170011300	66.2	1090	327
LdBPK_241530.1	LBRM2903_240022300	66.2	2587	792
LdBPK_364630.1	LBRM2903_350057300	66.2	130	43
LdBPK_140860.1	LBRM2903_140013500	66.1	366	102
LdBPK_181540.1	LBRM2903_180022000	66.1	425	133
LdBPK_260350.1	LBRM2903_260008700	66.1	1837	594
LdBPK_070900.1	LBRM2903_070016000	66	326	101
LdBPK_080110.1	LBRM2903_080006500	66	635	214
LdBPK_091050.1	LBRM2903_090016200	66	5193	1484
LdBPK_110920.1	LBRM2903_110013600	66	592	191
LdBPK_180030.1	LBRM2903_180005500	66	344	117
LdBPK_240260.1	LBRM2903_240007500	66	720	243
LdBPK_250910.1	LBRM2903_250016500	66	1340	413
LdBPK_252180.1	LBRM2903_250030000	66	309	83
LdBPK_282370.1	LBRM2903_280030500	66	153	51
LdBPK_010250.1	LBRM2903_010007400	65.9	848	255
LdBPK_030680.1	LBRM2903_030011900	65.9	2943	813
LdBPK_060620.1	LBRM2903_060011800	65.9	1416	405
LdBPK_070740.1	LBRM2903_070014300	65.9	498	165
LdBPK_080320.1	LBRM2903_080008400	65.9	255	85
LdBPK_120570.1	LBRM2903_120012000	65.9	926	291
LdBPK_130920.1	LBRM2903_130014400	65.9	367	124
LdBPK_230270.1	LBRM2903_230008400	65.9	182	62
LdBPK_261220.1	LBRM2903_280037300	65.9	615	208
LdBPK_301430.1	LBRM2903_300020600	65.9	616	200
LdBPK_322970.1	LBRM2903_320038600	65.9	1153	376
LdBPK_350690.1	LBRM2903_340011800	65.9	967	322
LdBPK_351460.1	LBRM2903_340020000	65.9	3040	982
LdBPK_010710.1	LBRM2903_010012400	65.8	237	73
LdBPK_020690.1	LBRM2903_270035700	65.8	79	26
LdBPK_061250.1	LBRM2903_060019300	65.8	392	134
LdBPK_090930.1	LBRM2903_090014800	65.8	310	75
LdBPK_110440.1	LBRM2903_110006100	65.8	605	183
LdBPK_120600.1	LBRM2903_120012400	65.8	623	202
LdBPK_130620.1	LBRM2903_130011200	65.8	890	236
LdBPK_201100.1	LBRM2903_200067000	65.8	2488	744
LdBPK_211270.1	LBRM2903_210017200	65.8	732	230
LdBPK_231540.1	LBRM2903_230024200	65.8	1196	359
LdBPK_251260.1	LBRM2903_250021600	65.8	2005	608
LdBPK_262480.1	LBRM2903_260029800	65.8	442	150
LdBPK_291620.1	LBRM2903_290023100	65.8	120	41
LdBPK_310720.1	LBRM2903_310015900	65.8	483	163
LdBPK_311490.1	LBRM2903_310026200	65.8	146	50
LdBPK_352770.1	LBRM2903_340034400	65.8	755	244
LdBPK_361140.1	LBRM2903_350017900	65.8	579	195
LdBPK_040340.1	LBRM2903_040008500	65.7	1523	431
LdBPK_040980.1	LBRM2903_040017100	65.7	481	131
LdBPK_090280.1	LBRM2903_090008400	65.7	893	283
LdBPK_120770.1	LBRM2903_200077400	65.7	721	199
LdBPK_130810.1	LBRM2903_130013100	65.7	1521	468
LdBPK_160770.1	LBRM2903_160014200	65.7	583	170
LdBPK_291210.1	LBRM2903_250024100	65.7	1104	372
LdBPK_292700.1	LBRM2903_290032700	65.7	703	231
LdBPK_321490.1	LBRM2903_320022000	65.7	1138	341
LdBPK_322440.1	LBRM2903_320032400	65.7	632	211
LdBPK_330540.1	LBRM2903_330010600	65.7	1503	501
LdBPK_353220.1	LBRM2903_340039500	65.7	1833	606
LdBPK_010420.1	LBRM2903_010009200	65.6	569	193
LdBPK_050910.1	LBRM2903_050014900	65.6	764	236
LdBPK_090501.1	LBRM2903_090010200	65.6	1736	529
LdBPK_141310.1	LBRM2903_140018700	65.6	459	153
LdBPK_150540.1	LBRM2903_150011300	65.6	163	56
LdBPK_241160.1	LBRM2903_240017600	65.6	1006	313
LdBPK_310890.1	LBRM2903_310017600	65.6	613	203
LdBPK_330990.1	LBRM2903_330016100	65.6	1182	368
LdBPK_331300.1	LBRM2903_330019500	65.6	868	206
LdBPK_341490.1	LBRM2903_200023400	65.6	1321	434
LdBPK_353480.1	LBRM2903_340042200	65.6	416	139
LdBPK_365900.1	LBRM2903_350070600	65.6	326	109
LdBPK_030250.1	LBRM2903_030007600	65.5	313	97
LdBPK_111320.1	LBRM2903_110018900	65.5	1784	602
LdBPK_130680.1	LBRM2903_130011800	65.5	696	218
LdBPK_141070.1	LBRM2903_140015800	65.5	1020	347
LdBPK_171430.1	LBRM2903_170021400	65.5	473	143
LdBPK_180520.1	LBRM2903_180010600	65.5	737	250
LdBPK_230440.1	LBRM2903_230010200	65.5	1996	616
LdBPK_230830.1	LBRM2903_230016300	65.5	885	264
LdBPK_231360.1	LBRM2903_230021900	65.5	1399	383
LdBPK_290380.1	LBRM2903_290009500	65.5	857	289
LdBPK_291480.1	LBRM2903_290021400	65.5	1392	464
LdBPK_300320.1	LBRM2903_300009100	65.5	589	186
LdBPK_320820.1	LBRM2903_320013900	65.5	1137	361
LdBPK_343650.1	LBRM2903_200048400	65.5	258	88
LdBPK_354520.1	LBRM2903_340054400	65.5	87	30
LdBPK_354670.1	LBRM2903_340056300	65.5	522	170
LdBPK_354870.1	LBRM2903_340058100	65.5	365	125
LdBPK_365880.1	LBRM2903_350070400	65.5	226	75
LdBPK_010360.1	LBRM2903_010008600	65.4	257	84
LdBPK_061030.1	LBRM2903_060016700	65.4	156	52
LdBPK_101010.1	LBRM2903_100018900	65.4	1363	409
LdBPK_160520.1	LBRM2903_160011300	65.4	1227	378
LdBPK_212210.1	LBRM2903_210027100	65.4	462	157
LdBPK_220570.1	LBRM2903_220012300	65.4	1167	367
LdBPK_250820.1	LBRM2903_250015600	65.4	1168	386
LdBPK_262110.1	LBRM2903_260025000	65.4	1796	574
LdBPK_270540.1	LBRM2903_270013200	65.4	922	312
LdBPK_352620.1	LBRM2903_340032800	65.4	188	65
LdBPK_355190.1	LBRM2903_340062400	65.4	327	104
LdBPK_110070.1	LBRM2903_190007300	65.3	386	132
LdBPK_160080.1	LBRM2903_160005900	65.3	392	136
LdBPK_220400.1	LBRM2903_220010200	65.3	1152	376
LdBPK_242040.1	LBRM2903_240028100	65.3	958	300
LdBPK_292100.1	LBRM2903_290025800	65.3	1894	638
LdBPK_302200.1	LBRM2903_300027600	65.3	502	168
LdBPK_321380.1	LBRM2903_320020900	65.3	542	183
LdBPK_322240.1	LBRM2903_320029900	65.3	874	293
LdBPK_341050.1	LBRM2903_200016700	65.3	193	67
LdBPK_341180.1	LBRM2903_200019800	65.3	401	125
LdBPK_342380.1	LBRM2903_200031800	65.3	616	213
LdBPK_350060.1	LBRM2903_340006000	65.3	674	230
LdBPK_355000.1	LBRM2903_340059400	65.3	1037	330
LdBPK_010680.1	LBRM2903_010012100	65.2	1599	497
LdBPK_030470.1	LBRM2903_030009700	65.2	1019	315
LdBPK_050640.1	LBRM2903_050011700	65.2	1899	585
LdBPK_120780.1	LBRM2903_200077300	65.2	881	298
LdBPK_221160.1	LBRM2903_220018400	65.2	1064	361
LdBPK_250390.1	LBRM2903_250009100	65.2	844	251
LdBPK_250490.1	LBRM2903_250010500	65.2	1528	496
LdBPK_281840.1	LBRM2903_280025200	65.2	661	168
LdBPK_292690.1	LBRM2903_290032600	65.2	463	136
LdBPK_301400.1	LBRM2903_300020200	65.2	322	108
LdBPK_311200.1	LBRM2903_310022000	65.2	161	56
LdBPK_365370.1	LBRM2903_350064900	65.2	515	169
LdBPK_160410.1	LBRM2903_160009600	65.1	352	123
LdBPK_200750.1	LBRM2903_200063500	65.1	1343	402
LdBPK_210920.1	LBRM2903_210014300	65.1	2978	940
LdBPK_221150.1	LBRM2903_220017900	65.1	281	97
LdBPK_251770.1	LBRM2903_250025900	65.1	1190	340
LdBPK_282420.1	LBRM2903_280030900	65.1	218	76
LdBPK_291490.1	LBRM2903_290021500	65.1	650	193
LdBPK_291510.1	LBRM2903_290021700	65.1	324	101
LdBPK_311990.1	LBRM2903_310031900	65.1	564	196
LdBPK_360840.1	LBRM2903_350014500	65.1	1130	384
LdBPK_366230.1	LBRM2903_350074200	65.1	584	189
LdBPK_170340.1	LBRM2903_170008500	65	719	245
LdBPK_210650.1	LBRM2903_210011100	65	389	127
LdBPK_211380.1	LBRM2903_210018800	65	329	87
LdBPK_220280.1	LBRM2903_220009000	65	739	245
LdBPK_231250.1	LBRM2903_230020700	65	560	188
LdBPK_250480.1	LBRM2903_250010400	65	1147	322
LdBPK_251880.1	LBRM2903_250027000	65	1061	311
LdBPK_272050.1	LBRM2903_270030100	65	1849	613
LdBPK_310780.1	LBRM2903_310016700	65	294	103
LdBPK_310820.1	LBRM2903_310017000	65	297	70
LdBPK_331000.1	LBRM2903_330016200	65	1709	565
LdBPK_333080.1	LBRM2903_330040100	65	314	102
LdBPK_352820.1	LBRM2903_340034900	65	1330	436
LdBPK_030450.1	LBRM2903_030009500	64.9	971	306
LdBPK_040530.1	LBRM2903_040011000	64.9	94	32
LdBPK_060060.1	LBRM2903_060006000	64.9	313	108
LdBPK_070980.1	LBRM2903_070017600	64.9	439	141
LdBPK_140640.1	LBRM2903_140011600	64.9	228	75
LdBPK_150810.1	LBRM2903_150015900	64.9	689	201
LdBPK_210070.1	LBRM2903_210005200	64.9	242	85
LdBPK_260930.1	LBRM2903_260014500	64.9	1748	592
LdBPK_261880.1	LBRM2903_260022700	64.9	2830	937
LdBPK_300440.1	LBRM2903_300010900	64.9	561	187
LdBPK_311440.1	LBRM2903_310025400	64.9	2400	784
LdBPK_311760.1	LBRM2903_310029000	64.9	416	140
LdBPK_090300.1	LBRM2903_090008600	64.8	995	293
LdBPK_140430.1	LBRM2903_140009400	64.8	599	176
LdBPK_180400.1	LBRM2903_180009200	64.8	562	194
LdBPK_191390.1	LBRM2903_190022500	64.8	88	31
LdBPK_211600.1	LBRM2903_210021500	64.8	1593	543
LdBPK_220290.1	LBRM2903_220009100	64.8	1187	400
LdBPK_240580.1	LBRM2903_240011500	64.8	88	31
LdBPK_241090.1	LBRM2903_240016800	64.8	2193	585
LdBPK_262450.1	LBRM2903_260029500	64.8	145	51
LdBPK_291070.1	LBRM2903_290017500	64.8	545	189
LdBPK_291150.1	LBRM2903_290018300	64.8	1077	358
LdBPK_301480.1	LBRM2903_300021000	64.8	145	49
LdBPK_332400.1	LBRM2903_330033200	64.8	71	25
LdBPK_332890.1	LBRM2903_330038300	64.8	1107	370
LdBPK_342360.1	LBRM2903_200031400	64.8	681	239
LdBPK_350590.1	LBRM2903_340010900	64.8	579	201
LdBPK_364060.1	LBRM2903_350051300	64.8	846	283
LdBPK_366870.1	LBRM2903_350082200	64.8	324	114
LdBPK_367190.1	LBRM2903_350085400	64.8	429	151
LdBPK_040700.1	LBRM2903_040013200	64.7	939	289
LdBPK_080450.1	LBRM2903_080012600	64.7	2299	690
LdBPK_111370.1	LBRM2903_110019900	64.7	385	136
LdBPK_161400.1	LBRM2903_160021400	64.7	1442	432
LdBPK_242420.1	LBRM2903_240031700	64.7	258	91
LdBPK_251000.1	LBRM2903_250017400	64.7	1231	427
LdBPK_261760.1	LBRM2903_230030300	64.7	329	113
LdBPK_301740.1	LBRM2903_300023500	64.7	312	109
LdBPK_351680.1	LBRM2903_340022200	64.7	286	93
LdBPK_361610.1	LBRM2903_350023500	64.7	853	292
LdBPK_010380.1	LBRM2903_010008800	64.6	158	51
LdBPK_010450.1	LBRM2903_010009500	64.6	810	206
LdBPK_080910.1	LBRM2903_080015400	64.6	852	262
LdBPK_100510.1	LBRM2903_000008900	64.6	82	25
LdBPK_220050.1	LBRM2903_220007000	64.6	910	241
LdBPK_220060.1	LBRM2903_220007100	64.6	260	82
LdBPK_230320.1	LBRM2903_230008800	64.6	1080	361
LdBPK_271830.1	LBRM2903_270027200	64.6	686	224
LdBPK_281500.1	LBRM2903_280021400	64.6	342	119
LdBPK_321780.1	LBRM2903_320025100	64.6	826	269
LdBPK_020390.1	LBRM2903_020009800	64.5	1026	304
LdBPK_030630.1	LBRM2903_030011200	64.5	907	270
LdBPK_080130.1	LBRM2903_080006700	64.5	1148	400
LdBPK_091400.1	LBRM2903_090020600	64.5	600	209
LdBPK_130910.1	LBRM2903_130014100	64.5	1210	377
LdBPK_141370.1	LBRM2903_140019300	64.5	808	276
LdBPK_200210.1	LBRM2903_200057800	64.5	200	60
LdBPK_230730.1	LBRM2903_230015000	64.5	521	173
LdBPK_262620.1	LBRM2903_260031300	64.5	822	291
LdBPK_290530.1	LBRM2903_290011300	64.5	234	69
LdBPK_321020.1	LBRM2903_320016000	64.5	1895	660
LdBPK_322610.1	LBRM2903_320034300	64.5	1017	311
LdBPK_060190.1	LBRM2903_060007100	64.4	585	180
LdBPK_190360.1	LBRM2903_190011400	64.4	1859	573
LdBPK_301020.1	LBRM2903_300016400	64.4	452	148
LdBPK_321370.1	LBRM2903_320020800	64.4	382	135
LdBPK_330490.1	LBRM2903_330009900	64.4	688	238
LdBPK_360830.1	LBRM2903_350014400	64.4	441	152
LdBPK_365150.1	LBRM2903_350062600	64.4	719	232
LdBPK_030690.1	LBRM2903_030012000	64.3	255	64
LdBPK_070970.1	LBRM2903_070017200	64.3	583	204
LdBPK_091040.1	LBRM2903_090016100	64.3	999	297
LdBPK_120280.1	LBRM2903_120008700	64.3	1306	405
LdBPK_130880.1	LBRM2903_130013800	64.3	502	164
LdBPK_191140.1	LBRM2903_190019100	64.3	1951	592
LdBPK_260080.1	LBRM2903_260005800	64.3	269	96
LdBPK_312340.1	LBRM2903_310034800	64.3	462	165
LdBPK_322890.1	LBRM2903_320037700	64.3	1511	471
LdBPK_332420.1	LBRM2903_330033400	64.3	2006	670
LdBPK_341310.1	LBRM2903_200021500	64.3	474	163
LdBPK_354260.1	LBRM2903_340051400	64.3	230	82
LdBPK_362170.1	LBRM2903_350029400	64.3	914	294
LdBPK_362430.1	LBRM2903_350032200	64.3	451	156
LdBPK_120530.1	LBRM2903_120011600	64.2	1125	354
LdBPK_150070.1	LBRM2903_150005700	64.2	467	166
LdBPK_170480.1	LBRM2903_170010100	64.2	1338	444
LdBPK_240360.1	LBRM2903_240009500	64.2	67	24
LdBPK_271740.1	LBRM2903_270026300	64.2	1748	569
LdBPK_281000.1	LBRM2903_280015200	64.2	1484	504
LdBPK_310450.1	LBRM2903_310012900	64.2	730	251
LdBPK_331490.1	LBRM2903_330022400	64.2	2066	581
LdBPK_362760.1	LBRM2903_350036000	64.2	3475	1177
LdBPK_364160.1	LBRM2903_350052300	64.2	1360	462
LdBPK_364890.1	LBRM2903_350059900	64.2	932	332
LdBPK_080230.1	LBRM2903_080007500	64.1	1098	360
LdBPK_090530.1	LBRM2903_090010500	64.1	746	192
LdBPK_100110.1	LBRM2903_100006200	64.1	763	245
LdBPK_120890.1	LBRM2903_200075800	64.1	103	37
LdBPK_130690.1	LBRM2903_130011900	64.1	234	72
LdBPK_150970.1	LBRM2903_150014300	64.1	1870	579
LdBPK_180240.1	LBRM2903_180007600	64.1	309	104
LdBPK_221030.1	LBRM2903_220016700	64.1	599	108
LdBPK_321610.1	LBRM2903_320023300	64.1	156	56
LdBPK_322570.1	LBRM2903_320033900	64.1	989	350
LdBPK_361090.1	LBRM2903_350017400	64.1	1603	566
LdBPK_040870.1	LBRM2903_040015600	64	442	134
LdBPK_070880.1	LBRM2903_070015800	64	597	195
LdBPK_120240.1	LBRM2903_120008200	64	1546	520
LdBPK_131570.1	LBRM2903_130019200	64	172	62
LdBPK_250240.1	LBRM2903_250007600	64	186	67
LdBPK_282140.1	LBRM2903_280028300	64	883	296
LdBPK_291370.1	LBRM2903_290020100	64	1908	629
