Ldon gene	Lbraz gene	% identity	length	mismatch
LdBPK_320240.1	LBRM2903_320007700	98.9	91	0
LdBPK_343620.1	LBRM2903_200048100	98.9	190	2
LdBPK_323370.1	LBRM2903_320042700	98.8	165	2
LdBPK_363940.1	LBRM2903_180011500	98.8	86	1
LdBPK_041250.1	LBRM2903_040020500	98.7	376	5
LdBPK_091190.1	LBRM2903_090018300	98.7	152	2
LdBPK_251360.1	LBRM2903_250022600	98.7	317	4
LdBPK_363220.1	LBRM2903_350041600	98.7	233	3
LdBPK_220490.1	LBRM2903_220011100	98.6	444	6
LdBPK_110570.1	LBRM2903_110007200	98.5	132	2
LdBPK_366680.1	LBRM2903_350080100	98.5	260	4
LdBPK_150090.1	LBRM2903_150005900	98.4	372	6
LdBPK_331560.1	LBRM2903_330023600	98.4	129	1
LdBPK_340670.1	LBRM2903_200012600	98.4	309	5
LdBPK_360950.1	LBRM2903_350015700	98.4	249	4
LdBPK_361310.1	LBRM2903_070014500	98.4	190	3
LdBPK_010790.1	LBRM2903_010013700	98.3	403	7
LdBPK_050510.1	LBRM2903_050010200	98.3	574	10
LdBPK_091130.1	LBRM2903_090017800	98.3	237	4
LdBPK_331430.1	LBRM2903_330021100	98.3	181	3
LdBPK_340900.1	LBRM2903_200015200	98.3	296	5
LdBPK_343280.1	LBRM2903_200044400	98.3	459	8
LdBPK_364570.1	LBRM2903_350056800	98.3	409	7
LdBPK_220440.1	LBRM2903_220010600	98.2	437	8
LdBPK_240040.1	LBRM2903_240005200	98.2	166	3
LdBPK_365240.1	LBRM2903_350063500	98.2	109	2
LdBPK_080830.1	LBRM2903_080014500	98.1	376	7
LdBPK_323320.1	LBRM2903_320042200	98.1	106	2
LdBPK_360210.1	LBRM2903_350008100	98.1	845	16
LdBPK_363960.1	LBRM2903_350050300	98.1	103	2
LdBPK_100830.1	LBRM2903_100017200	98	196	4
LdBPK_220310.1	LBRM2903_220009500	98	101	2
LdBPK_302820.1	LBRM2903_300034300	98	205	4
LdBPK_250670.1	LBRM2903_250013700	97.9	95	2
LdBPK_281050.1	LBRM2903_280015900	97.9	144	3
LdBPK_291170.1	LBRM2903_290018400	97.9	94	2
LdBPK_353850.1	LBRM2903_340047500	97.9	146	3
LdBPK_050100.1	LBRM2903_050005900	97.8	637	14
LdBPK_271370.1	LBRM2903_270021700	97.8	186	4
LdBPK_291180.1	LBRM2903_290018400	97.8	89	2
LdBPK_350600.1	LBRM2903_320014900	97.8	179	4
LdBPK_360510.1	LBRM2903_350011200	97.8	225	5
LdBPK_311930.1	LBRM2903_310031200	97.7	128	3
LdBPK_363430.1	LBRM2903_350044400	97.7	129	3
LdBPK_030240.1	LBRM2903_030007500	97.6	83	2
LdBPK_151530.1	LBRM2903_150021900	97.6	126	3
LdBPK_201450.1	LBRM2903_200071200	97.6	510	12
LdBPK_221110.1	LBRM2903_220017500	97.6	125	3
LdBPK_262230.1	LBRM2903_030007500	97.6	83	2
LdBPK_310170.1	LBRM2903_310009300	97.6	1185	25
LdBPK_332070.1	LBRM2903_340060900	97.6	83	2
LdBPK_350070.1	LBRM2903_340006100	97.6	292	7
LdBPK_365355.1	LBRM2903_350063500	97.6	82	2
LdBPK_251220.1	LBRM2903_250021200	97.5	120	3
LdBPK_271140.1	LBRM2903_270019500	97.5	321	8
LdBPK_340460.1	LBRM2903_250021200	97.5	120	3
LdBPK_343440.1	LBRM2903_160010100	97.5	159	4
LdBPK_361580.1	LBRM2903_350022900	97.5	510	12
LdBPK_366950.1	LBRM2903_350083000	97.5	197	5
LdBPK_242220.1	LBRM2903_240029700	97.4	155	4
LdBPK_281100.1	LBRM2903_280016700	97.4	116	3
LdBPK_281940.1	LBRM2903_280026200	97.4	467	12
LdBPK_361940.1	LBRM2903_350026900	97.4	431	11
LdBPK_070210.1	LBRM2903_070005800	97.3	258	7
LdBPK_280780.1	LBRM2903_280013100	97.3	185	5
LdBPK_321940.1	LBRM2903_320026700	97.3	594	16
LdBPK_030520.1	LBRM2903_030010200	97.2	396	11
LdBPK_040750.1	LBRM2903_040013700	97.2	213	6
LdBPK_070190.1	LBRM2903_070010800	97.2	108	3
LdBPK_211300.1	LBRM2903_210017600	97.2	143	4
LdBPK_212130.1	LBRM2903_210026300	97.2	430	12
LdBPK_241700.1	LBRM2903_240024100	97.2	607	17
LdBPK_303650.1	LBRM2903_280015900	97.2	144	4
LdBPK_332520.1	LBRM2903_330034400	97.2	634	18
LdBPK_353900.1	LBRM2903_340048000	97.2	571	15
LdBPK_364070.1	LBRM2903_350051400	97.2	356	10
LdBPK_050550.1	LBRM2903_050010700	97.1	314	9
LdBPK_141010.1	LBRM2903_140015000	97	168	5
LdBPK_180650.1	LBRM2903_180012000	97	271	8
LdBPK_211820.1	LBRM2903_210023400	97	435	13
LdBPK_221112.1	LBRM2903_270029400	97	329	10
LdBPK_240860.1	LBRM2903_240014500	97	237	7
LdBPK_250740.1	LBRM2903_250015000	97	166	5
LdBPK_250750.1	LBRM2903_250015000	97	166	5
LdBPK_270590.1	LBRM2903_270013900	97	201	6
LdBPK_271450.1	LBRM2903_270022400	97	134	4
LdBPK_291890.1	LBRM2903_310005800	97	595	18
LdBPK_344050.1	LBRM2903_200052800	97	203	6
LdBPK_351540.1	LBRM2903_340020800	97	297	9
LdBPK_352010.1	LBRM2903_340025900	97	369	11
LdBPK_060990.1	LBRM2903_060016300	96.9	223	7
LdBPK_271610.1	LBRM2903_270024300	96.9	453	14
LdBPK_343720.1	LBRM2903_200049100	96.9	97	3
LdBPK_353720.1	LBRM2903_340045700	96.9	225	7
LdBPK_030210.1	LBRM2903_030007200	96.8	313	10
LdBPK_081080.1	LBRM2903_080017200	96.8	442	14
LdBPK_131530.1	LBRM2903_130018900	96.8	158	5
LdBPK_242180.1	LBRM2903_240029300	96.8	370	12
LdBPK_251210.1	LBRM2903_250021100	96.8	525	16
LdBPK_282970.1	LBRM2903_280037000	96.8	312	10
LdBPK_291160.1	LBRM2903_290018400	96.8	372	12
LdBPK_303360.1	LBRM2903_300040500	96.8	31	1
LdBPK_342440.1	LBRM2903_200032400	96.8	476	15
LdBPK_090770.1	LBRM2903_090013200	96.7	275	8
LdBPK_110960.1	LBRM2903_110013300	96.7	90	3
LdBPK_231460.1	LBRM2903_230023100	96.7	551	18
LdBPK_281660.1	LBRM2903_280023100	96.7	389	13
LdBPK_282280.1	LBRM2903_280029700	96.7	90	3
LdBPK_340960.1	LBRM2903_200015800	96.7	121	4
LdBPK_365353.1	LBRM2903_350063500	96.7	246	8
LdBPK_081290.1	LBRM2903_330014300	96.6	147	5
LdBPK_120190.1	LBRM2903_120007200	96.6	411	14
LdBPK_211990.1	LBRM2903_210025100	96.6	175	6
LdBPK_271150.1	LBRM2903_270019600	96.6	529	18
LdBPK_280870.1	LBRM2903_280013900	96.6	149	5
LdBPK_351030.1	LBRM2903_340016000	96.6	354	11
LdBPK_351310.1	LBRM2903_340018600	96.6	148	5
LdBPK_353490.1	LBRM2903_340042300	96.6	117	4
LdBPK_353810.1	LBRM2903_340046900	96.6	145	5
LdBPK_360190.1	LBRM2903_350008000	96.6	118	4
LdBPK_200600.1	LBRM2903_200061700	96.5	144	5
LdBPK_221300.1	LBRM2903_220019900	96.5	229	8
LdBPK_242140.1	LBRM2903_240029000	96.5	115	4
LdBPK_290910.1	LBRM2903_290015400	96.5	114	4
LdBPK_355230.1	LBRM2903_340062800	96.5	85	3
LdBPK_360600.1	LBRM2903_350011900	96.5	311	11
LdBPK_364730.1	LBRM2903_130009100	96.5	198	7
LdBPK_040280.1	LBRM2903_040007900	96.4	444	16
LdBPK_151110.1	LBRM2903_150017400	96.4	56	2
LdBPK_160150.1	LBRM2903_160006700	96.4	168	6
LdBPK_221280.1	LBRM2903_220019700	96.4	111	4
LdBPK_365350.1	LBRM2903_350063500	96.4	84	3
LdBPK_030090.1	LBRM2903_030006000	96.3	164	6
LdBPK_061210.1	LBRM2903_060018900	96.3	135	5
LdBPK_080290.1	LBRM2903_080008100	96.3	380	14
LdBPK_110780.1	LBRM2903_110009600	96.3	80	3
LdBPK_131120.1	LBRM2903_130016300	96.3	273	10
LdBPK_210440.1	LBRM2903_210008900	96.3	215	7
LdBPK_210930.1	LBRM2903_210013700	96.3	214	8
LdBPK_241240.1	LBRM2903_240018400	96.3	107	4
LdBPK_280550.1	LBRM2903_280010900	96.3	301	11
LdBPK_321060.1	LBRM2903_320016600	96.3	536	20
LdBPK_322830.1	LBRM2903_320037100	96.3	134	5
LdBPK_322850.1	LBRM2903_320037100	96.3	134	5
LdBPK_322960.1	LBRM2903_320038500	96.3	408	15
LdBPK_342620.1	LBRM2903_200034000	96.3	160	6
LdBPK_352230.1	LBRM2903_340028400	96.3	164	6
LdBPK_361710.1	LBRM2903_350024500	96.3	135	5
LdBPK_030940.1	LBRM2903_030014700	96.2	104	4
LdBPK_110770.1	LBRM2903_110009600	96.2	79	3
LdBPK_111200.1	LBRM2903_110016900	96.2	183	7
LdBPK_191200.1	LBRM2903_190020100	96.2	208	8
LdBPK_201350.1	LBRM2903_200070200	96.2	131	5
LdBPK_201720.1	LBRM2903_200074500	96.2	104	4
LdBPK_210800.1	LBRM2903_210012600	96.2	105	4
LdBPK_300600.1	LBRM2903_300012400	96.2	479	18
LdBPK_312350.1	LBRM2903_310034900	96.2	182	7
LdBPK_350220.1	LBRM2903_340007600	96.2	263	10
LdBPK_351900.1	LBRM2903_210012600	96.2	105	4
LdBPK_365660.1	LBRM2903_350068300	96.2	289	6
LdBPK_111050.1	LBRM2903_110015200	96.1	486	19
LdBPK_190140.1	LBRM2903_190009200	96.1	280	11
LdBPK_270180.1	LBRM2903_270007100	96.1	179	7
LdBPK_312890.1	LBRM2903_310041400	96.1	178	7
LdBPK_320100.1	LBRM2903_320006300	96.1	228	9
LdBPK_333340.1	LBRM2903_330043200	96.1	103	4
LdBPK_344020.1	LBRM2903_200052500	96.1	309	12
LdBPK_362850.1	LBRM2903_350037000	96.1	571	21
LdBPK_071030.1	LBRM2903_070018400	96	297	11
LdBPK_110240.1	LBRM2903_190005400	96	247	10
LdBPK_191270.1	LBRM2903_190020900	96	277	11
LdBPK_251860.1	LBRM2903_250026800	96	479	19
LdBPK_320760.1	LBRM2903_320013300	96	481	19
LdBPK_343470.1	LBRM2903_200046700	96	202	8
LdBPK_363520.1	LBRM2903_350045500	96	223	9
LdBPK_040680.1	LBRM2903_040013000	95.9	148	6
LdBPK_050030.1	LBRM2903_050005200	95.9	195	8
LdBPK_051170.1	LBRM2903_050017800	95.9	458	19
LdBPK_161710.1	LBRM2903_160024800	95.9	268	11
LdBPK_251430.1	LBRM2903_250020100	95.9	266	11
LdBPK_251670.1	LBRM2903_250024900	95.9	123	5
LdBPK_343460.1	LBRM2903_200046600	95.9	610	25
LdBPK_351740.1	LBRM2903_340022800	95.9	97	4
LdBPK_352960.1	LBRM2903_340036700	95.9	123	5
LdBPK_353670.1	LBRM2903_340045100	95.9	146	6
LdBPK_100870.1	LBRM2903_100017700	95.8	400	17
LdBPK_131080.1	LBRM2903_130015900	95.8	118	5
LdBPK_181090.1	LBRM2903_180017300	95.8	332	14
LdBPK_280210.1	LBRM2903_280007700	95.8	142	6
LdBPK_291880.1	LBRM2903_310005800	95.8	24	1
LdBPK_303060.1	LBRM2903_300036800	95.8	95	4
LdBPK_312680.1	LBRM2903_310038600	95.8	1225	52
LdBPK_313300.1	LBRM2903_310046400	95.8	429	18
LdBPK_340370.1	LBRM2903_200009000	95.8	378	16
LdBPK_342240.1	LBRM2903_100005600	95.8	144	6
LdBPK_350140.1	LBRM2903_340006800	95.8	119	5
LdBPK_350400.1	LBRM2903_340009400	95.8	264	11
LdBPK_350410.1	LBRM2903_340009400	95.8	264	11
LdBPK_353890.1	LBRM2903_340047900	95.8	312	13
LdBPK_354950.1	LBRM2903_340058900	95.8	287	12
LdBPK_365238.1	LBRM2903_350063500	95.8	118	5
LdBPK_365270.1	LBRM2903_350063800	95.8	431	18
LdBPK_151430.1	LBRM2903_150020800	95.7	445	18
LdBPK_181460.1	LBRM2903_180021300	95.7	258	11
LdBPK_231410.1	LBRM2903_230022600	95.7	351	15
LdBPK_252220.1	LBRM2903_250030500	95.7	299	13
LdBPK_270130.1	LBRM2903_270006600	95.7	115	5
LdBPK_280980.1	LBRM2903_280015000	95.7	799	34
LdBPK_303270.1	LBRM2903_300039500	95.7	141	6
LdBPK_355280.1	LBRM2903_340063300	95.7	374	16
LdBPK_362380.1	LBRM2903_350031800	95.7	368	16
LdBPK_363360.1	LBRM2903_350043700	95.7	258	11
LdBPK_364100.1	LBRM2903_350051700	95.7	437	19
LdBPK_050980.1	LBRM2903_050015800	95.6	481	21
LdBPK_230870.1	LBRM2903_230016800	95.6	113	5
LdBPK_251830.1	LBRM2903_250026500	95.6	137	6
LdBPK_320720.1	LBRM2903_320012800	95.6	226	10
LdBPK_323470.1	LBRM2903_320043800	95.6	546	24
LdBPK_331970.1	LBRM2903_330027900	95.6	652	29
LdBPK_342160.1	LBRM2903_200029600	95.6	181	8
LdBPK_343210.1	LBRM2903_200043600	95.6	756	33
LdBPK_343670.1	LBRM2903_200048600	95.6	113	5
LdBPK_363070.1	LBRM2903_350039900	95.6	113	5
LdBPK_040360.1	LBRM2903_040008700	95.5	353	16
LdBPK_160950.1	LBRM2903_160016000	95.5	112	5
LdBPK_170170.1	LBRM2903_170006200	95.5	449	20
LdBPK_171380.1	LBRM2903_170021000	95.5	67	3
LdBPK_180740.1	LBRM2903_180013700	95.5	466	21
LdBPK_191590.1	LBRM2903_190025200	95.5	514	23
LdBPK_270620.1	LBRM2903_270014200	95.5	200	9
LdBPK_300710.1	LBRM2903_300013400	95.5	66	3
LdBPK_301180.1	LBRM2903_300017900	95.5	539	24
LdBPK_352250.1	LBRM2903_340028100	95.5	88	4
LdBPK_361040.1	LBRM2903_350016800	95.5	112	5
LdBPK_361050.1	LBRM2903_350016800	95.5	112	5
LdBPK_361420.1	LBRM2903_350021000	95.5	777	34
LdBPK_030960.1	LBRM2903_030014900	95.4	413	19
LdBPK_111100.1	LBRM2903_110015600	95.4	476	22
LdBPK_111350.1	LBRM2903_110019500	95.4	436	20
LdBPK_190090.1	LBRM2903_190008700	95.4	306	6
LdBPK_221370.1	LBRM2903_220020900	95.4	175	8
LdBPK_260980.1	LBRM2903_260015100	95.4	410	19
LdBPK_261690.1	LBRM2903_230031000	95.4	194	9
LdBPK_110100.1	LBRM2903_190006900	95.3	473	22
LdBPK_211330.1	LBRM2903_210017900	95.3	551	26
LdBPK_212140.1	LBRM2903_210026400	95.3	301	14
LdBPK_221260.1	LBRM2903_220019500	95.3	149	7
LdBPK_241870.1	LBRM2903_240026400	95.3	106	5
LdBPK_252090.1	LBRM2903_250029100	95.3	279	13
LdBPK_282980.1	LBRM2903_280037100	95.3	594	28
LdBPK_330140.1	LBRM2903_330006300	95.3	341	16
LdBPK_331790.1	LBRM2903_330025900	95.3	1032	49
LdBPK_365630.1	LBRM2903_350068000	95.3	358	17
LdBPK_030200.1	LBRM2903_030007100	95.2	375	18
LdBPK_070160.1	LBRM2903_070011100	95.2	166	8
LdBPK_130300.1	LBRM2903_130007800	95.2	669	32
LdBPK_151500.1	LBRM2903_150021600	95.2	293	14
LdBPK_191250.1	LBRM2903_190020700	95.2	168	8
LdBPK_220340.1	LBRM2903_220009600	95.2	62	3
LdBPK_272250.1	LBRM2903_270032300	95.2	314	15
LdBPK_282610.1	LBRM2903_280033000	95.2	495	24
LdBPK_341130.1	LBRM2903_200017500	95.2	623	30
LdBPK_354000.1	LBRM2903_340048800	95.2	2418	112
LdBPK_354150.1	LBRM2903_340050300	95.2	84	4
LdBPK_355360.1	LBRM2903_340060300	95.2	559	21
LdBPK_363910.1	LBRM2903_350049800	95.2	627	30
LdBPK_070610.1	LBRM2903_070012600	95.1	225	11
LdBPK_140670.1	LBRM2903_140011900	95.1	285	14
LdBPK_282520.1	LBRM2903_280032200	95.1	244	12
LdBPK_300070.1	LBRM2903_300005800	95.1	185	9
LdBPK_044280.1	LBRM2903_200053900	95.1	41	2
LdBPK_354570.1	LBRM2903_340055300	95.1	82	4
LdBPK_282950.1	LBRM2903_280037300	95	40	2
LdBPK_340420.1	LBRM2903_200009600	95	159	8
LdBPK_341300.1	LBRM2903_200021400	95	119	6
LdBPK_351320.1	LBRM2903_060005400	95	100	5
LdBPK_362970.1	LBRM2903_350039000	95	1076	54
LdBPK_100910.1	LBRM2903_100018100	94.9	195	10
LdBPK_160260.1	LBRM2903_160008100	94.9	176	9
LdBPK_210840.1	LBRM2903_210012900	94.9	473	24
LdBPK_212240.1	LBRM2903_330014300	94.9	79	4
LdBPK_272260.1	LBRM2903_270032400	94.9	392	20
LdBPK_280580.1	LBRM2903_280011200	94.9	376	17
LdBPK_291900.1	LBRM2903_310005900	94.9	373	19
LdBPK_292620.1	LBRM2903_290031700	94.9	486	25
LdBPK_332710.1	LBRM2903_330036400	94.9	99	5
LdBPK_342530.1	LBRM2903_200033200	94.9	255	13
LdBPK_360650.1	LBRM2903_350012400	94.9	214	11
LdBPK_363950.1	LBRM2903_180011800	94.9	78	4
LdBPK_120300.1	LBRM2903_120009100	94.8	192	10
LdBPK_160170.1	LBRM2903_160006900	94.8	305	16
LdBPK_231470.1	LBRM2903_230023200	94.8	77	4
LdBPK_242370.1	LBRM2903_240031200	94.8	813	42
LdBPK_270460.1	LBRM2903_270010800	94.8	330	17
LdBPK_272320.1	LBRM2903_270033000	94.8	153	8
LdBPK_282480.1	LBRM2903_280031500	94.8	405	21
LdBPK_291390.1	LBRM2903_290020300	94.8	290	15
LdBPK_301360.1	LBRM2903_300019800	94.8	288	15
LdBPK_351700.1	LBRM2903_340022400	94.8	362	19
LdBPK_351870.1	LBRM2903_340024400	94.8	305	16
LdBPK_360620.1	LBRM2903_350012100	94.8	746	39
LdBPK_360990.1	LBRM2903_350016200	94.8	153	8
LdBPK_367240.1	LBRM2903_350085900	94.8	537	28
LdBPK_212160.1	LBRM2903_210026600	94.7	187	10
LdBPK_212200.1	LBRM2903_210027000	94.7	244	13
LdBPK_283220.1	LBRM2903_280039800	94.7	169	9
LdBPK_300670.1	LBRM2903_300013200	94.7	397	21
LdBPK_340910.1	LBRM2903_150007300	94.7	95	5
LdBPK_351290.1	LBRM2903_340018400	94.7	318	17
LdBPK_354200.1	LBRM2903_340050800	94.7	585	25
LdBPK_360660.1	LBRM2903_350012500	94.7	152	8
LdBPK_200250.1	LBRM2903_200058200	94.6	149	8
LdBPK_250780.1	LBRM2903_250015200	94.6	406	22
LdBPK_260840.1	LBRM2903_260013700	94.6	149	8
LdBPK_322860.1	LBRM2903_320037400	94.6	149	8
LdBPK_352260.1	LBRM2903_340028100	94.6	92	5
LdBPK_353920.1	LBRM2903_340048200	94.6	444	24
LdBPK_030140.1	LBRM2903_030006500	94.5	310	17
LdBPK_040630.1	LBRM2903_040012500	94.5	200	11
LdBPK_100210.1	LBRM2903_100007100	94.5	470	25
LdBPK_240740.1	LBRM2903_240013300	94.5	472	26
LdBPK_290160.1	LBRM2903_290006900	94.5	692	38
LdBPK_303480.1	LBRM2903_300041800	94.5	799	44
LdBPK_320870.1	LBRM2903_320014300	94.5	164	9
LdBPK_321010.1	LBRM2903_320015900	94.5	271	15
LdBPK_321340.1	LBRM2903_320020400	94.5	199	11
LdBPK_331770.1	LBRM2903_330025600	94.5	451	25
LdBPK_350210.1	LBRM2903_340007500	94.5	73	4
LdBPK_010270.1	LBRM2903_010007600	94.4	107	6
LdBPK_030410.1	LBRM2903_030009000	94.4	36	2
LdBPK_131050.1	LBRM2903_130015600	94.4	320	18
LdBPK_141100.1	LBRM2903_140016100	94.4	180	10
LdBPK_200580.1	LBRM2903_200061400	94.4	429	24
LdBPK_250370.1	LBRM2903_250008900	94.4	124	7
LdBPK_250640.1	LBRM2903_250013400	94.4	301	17
LdBPK_271520.1	LBRM2903_270023200	94.4	213	12
LdBPK_281210.1	LBRM2903_280017900	94.4	629	35
LdBPK_281310.1	LBRM2903_280019300	94.4	658	37
LdBPK_291000.1	LBRM2903_290016800	94.4	504	26
LdBPK_302470.1	LBRM2903_300031400	94.4	90	5
LdBPK_302530.1	LBRM2903_300031400	94.4	90	5
LdBPK_303560.1	LBRM2903_300042800	94.4	392	22
LdBPK_311420.1	LBRM2903_310024300	94.4	126	7
LdBPK_322770.1	LBRM2903_320036200	94.4	270	15
LdBPK_352730.1	LBRM2903_340034000	94.4	413	23
LdBPK_355240.1	LBRM2903_340062900	94.4	355	20
LdBPK_270160.1	LBRM2903_270006900	94.3	261	15
LdBPK_282550.1	LBRM2903_280032500	94.3	880	50
LdBPK_282780.1	LBRM2903_280034900	94.3	1031	54
LdBPK_302620.1	LBRM2903_300032400	94.3	352	20
LdBPK_350050.1	LBRM2903_340005800	94.3	366	21
LdBPK_363550.1	LBRM2903_350045900	94.3	70	4
LdBPK_363560.1	LBRM2903_350045900	94.3	70	4
LdBPK_120040.1	LBRM2903_120005300	94.2	467	27
LdBPK_140250.1	LBRM2903_140007600	94.2	172	10
LdBPK_161510.1	LBRM2903_160022600	94.2	599	35
LdBPK_200820.1	LBRM2903_200064300	94.2	738	43
LdBPK_240850.1	LBRM2903_240014400	94.2	811	47
LdBPK_241740.1	LBRM2903_240025000	94.2	274	16
LdBPK_251050.1	LBRM2903_250018100	94.2	69	4
LdBPK_282170.1	LBRM2903_280028600	94.2	173	10
LdBPK_302540.1	LBRM2903_300031400	94.2	86	5
LdBPK_303520.1	LBRM2903_300042200	94.2	139	8
LdBPK_323120.1	LBRM2903_320040100	94.2	725	42
LdBPK_330640.1	LBRM2903_330011800	94.2	190	11
LdBPK_350240.1	LBRM2903_340007800	94.2	104	6
LdBPK_362260.1	LBRM2903_350030300	94.2	570	33
LdBPK_362440.1	LBRM2903_350032300	94.2	325	19
LdBPK_100200.1	LBRM2903_100007000	94.1	407	24
LdBPK_101330.1	LBRM2903_100022700	94.1	136	8
LdBPK_160020.1	LBRM2903_160005300	94.1	374	22
LdBPK_190330.1	LBRM2903_190011100	94.1	594	35
LdBPK_211680.1	LBRM2903_210022100	94.1	221	13
LdBPK_220600.1	LBRM2903_220012600	94.1	289	17
LdBPK_221480.1	LBRM2903_220022300	94.1	338	20
LdBPK_272100.1	LBRM2903_270030600	94.1	286	17
LdBPK_280110.1	LBRM2903_280006700	94.1	205	12
LdBPK_292880.1	LBRM2903_290034800	94.1	204	12
LdBPK_300250.1	LBRM2903_300008300	94.1	1131	63
LdBPK_303080.1	LBRM2903_300037000	94.1	505	29
LdBPK_311680.1	LBRM2903_310028100	94.1	186	11
LdBPK_313070.1	LBRM2903_310043200	94.1	441	26
LdBPK_321140.1	LBRM2903_320017600	94.1	188	11
LdBPK_330300.1	LBRM2903_310011900	94.1	511	30
LdBPK_352150.1	LBRM2903_340027500	94.1	205	12
LdBPK_360690.1	LBRM2903_350012800	94.1	188	11
LdBPK_364030.1	LBRM2903_350050900	94.1	626	37
LdBPK_020360.1	LBRM2903_020009600	94	133	8
LdBPK_030120.1	LBRM2903_030006300	94	182	11
LdBPK_060010.1	LBRM2903_060005400	94	100	6
LdBPK_060510.1	LBRM2903_060010800	94	486	23
LdBPK_070710.1	LBRM2903_070014000	94	335	20
LdBPK_080030.1	LBRM2903_080005600	94	215	13
LdBPK_150010.1	LBRM2903_060005400	94	100	6
LdBPK_210140.1	LBRM2903_210005900	94	151	9
LdBPK_260540.1	LBRM2903_260010600	94	150	9
LdBPK_322760.1	LBRM2903_320036100	94	284	17
LdBPK_323260.1	LBRM2903_320041600	94	117	7
LdBPK_350110.1	LBRM2903_340006500	94	184	11
LdBPK_354910.1	LBRM2903_340058500	94	250	15
LdBPK_360020.1	LBRM2903_060005400	94	100	6
LdBPK_361730.1	LBRM2903_350024700	94	300	18
LdBPK_040930.1	LBRM2903_040016600	93.9	148	9
LdBPK_131400.1	LBRM2903_130021400	93.9	538	33
LdBPK_170870.1	LBRM2903_170014700	93.9	492	30
LdBPK_180080.1	LBRM2903_180005900	93.9	479	29
LdBPK_251170.1	LBRM2903_250020300	93.9	165	10
LdBPK_300370.1	LBRM2903_300010100	93.9	409	25
LdBPK_300380.1	LBRM2903_300010200	93.9	230	14
LdBPK_303570.1	LBRM2903_300042900	93.9	247	15
LdBPK_343810.1	LBRM2903_200050400	93.9	148	9
LdBPK_351270.1	LBRM2903_340018200	93.9	361	22
LdBPK_360560.1	LBRM2903_350011700	93.9	297	18
LdBPK_091030.1	LBRM2903_090016000	93.8	96	6
LdBPK_151310.1	LBRM2903_150019600	93.8	1234	77
LdBPK_160590.1	LBRM2903_160012300	93.8	1842	114
LdBPK_161380.1	LBRM2903_160021300	93.8	112	7
LdBPK_161390.1	LBRM2903_160021300	93.8	112	7
LdBPK_180270.1	LBRM2903_180007900	93.8	355	22
LdBPK_191180.1	LBRM2903_190019900	93.8	128	8
LdBPK_251010.1	LBRM2903_250017500	93.8	4719	274
LdBPK_260260.1	LBRM2903_260007800	93.8	497	31
LdBPK_280570.1	LBRM2903_280011100	93.8	112	7
LdBPK_290030.1	LBRM2903_290005700	93.8	467	29
LdBPK_303240.1	LBRM2903_280011100	93.8	112	7
LdBPK_332880.1	LBRM2903_330038200	93.8	817	51
